Model,Accuracy,Accuracy Std,Macro-F1,Macro-F1 Std,QWK,QWK Std
Random Baseline,0.333,0.0,0.333,0.0,0.0,0.0
XGBoost (handcrafted),0.434,0.046,0.431,0.049,0.262,0.039
SVM (handcrafted),0.296,0.018,0.27,0.029,0.098,0.024
PoseLSTM,0.343,0.075,0.324,0.065,0.097,0.133
ST-GCN,0.343,0.064,0.321,0.058,0.143,0.107
Pose Transformer,0.332,0.009,0.166,0.003,0.0,0.0
Two-Stage (DanceMVP),0.341,0.015,0.33,0.0,0.126,0.0
USDL (Tang et al. CVPR 2020),0.3259259259259259,0.027715980642769936,0.20376453611747727,0.030678362584095408,0.019797979797979835,0.047104076263229974
CoRe (Yu et al. ICCV 2021),0.3259259259259259,0.014814814814814815,0.1914831882573818,0.03601585914882673,-4.4408920985006264e-17,8.881784197001254e-17
"VL-Transformer (Chen, SciRep 2025)",0.34074074074074073,0.05443310539518174,0.25351922024335816,0.07176684991149367,0.046666666666666745,0.08508720626589929
"LeViT-Hybrid (Wang, SciRep 2025)",0.3185185185185185,0.018144368465060578,0.16987012987012987,0.01463587643921417,-0.03555555555555556,0.0435464843161454
"Graph-Transformer (Han et al., SciRep 2026)",0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0
